"","X","inv_pres1","inv_pres2","inv_federal","inv_estadual","inv_gov","votaria","pref_cand","pref_part","inv_gov2","houseincome","income","catincome","male","efficacygov","efficacyvote","congressev","wouldvote","right","partyeval","knowledge","interest","education","age","govevaluation"
"1916",1916,0,0,0,0,0,1,1,2,NA,400,580,2,0,5,5,1,2,5,1,4,4,7,26,1
"1917",1917,0,1,1,1,0,1,1,2,NA,3000,3000,4,0,5,5,1,2,0,1,4,2,7,23,1
"1918",1918,0,0,1,1,0,3,1,2,NA,510,510,1,0,5,5,2,1,NA,2,4,2,2,62,2
"1919",1919,0,0,0,NA,0,2,2,2,NA,666.666687011719,790,2,1,5,5,1,NA,NA,1,8,1,7,18,1
"1920",1920,0,0,0,0,0,1,1,2,NA,650,1300,3,0,4,4,2,2,5,4,9,2,3,35,2
"1921",1921,0,0,0,NA,0,3,1,NA,NA,750,3000,4,1,5,3,3,1,3,2,NA,NA,4,63,5
"1922",1922,0,0,0,0,0,3,NA,2,NA,2666.66674804688,1,0,0,4,3,5,1,5,1,10,2,8,22,4
"1923",1923,0,0,0,1,0,3,1,1,NA,2000,2000,3,0,4,4,4,1,3,1,8,3,7,45,4
"1924",1924,0,0,0,0,0,3,2,2,NA,1250,2000,3,0,5,5,4,1,8,4,8,2,4,52,4
"1925",1925,0,0,0,0,0,3,1,1,NA,866.666687011719,510,1,1,5,5,4,1,7,5,14,3,2,68,4
"1926",1926,0,1,0,0,0,2,2,2,NA,866.666687011719,220,1,1,4,5,3,NA,3,3,4,2,8,18,4
"1927",1927,0,0,0,1,0,1,1,2,NA,2250,1,0,0,5,5,1,2,3,1,6,1,9,27,1
"1928",1928,NA,NA,NA,0,NA,3,1,1,NA,1166.66662597656,1000,2,0,5,5,5,1,9,4,4,1,2,73,5
"1929",1929,0,0,0,NA,0,3,1,1,NA,333.333343505859,1000,2,1,5,5,2,1,9,2,14,3,4,60,2
"1930",1930,0,0,NA,NA,0,1,2,2,NA,500,510,1,0,5,5,1,2,5,1,6,2,5,39,4
"1931",1931,NA,NA,NA,0,NA,1,2,2,NA,575,800,2,1,1,1,1,2,NA,1,6,1,8,25,1
"1932",1932,0,0,0,0,0,3,1,1,NA,650,2600,4,1,5,5,4,1,5,4,4,3,6,50,4
"1933",1933,0,1,1,1,1,1,1,2,NA,833.333312988281,1000,2,1,5,5,1,2,5,1,6,2,4,40,1
"1934",1934,0,0,0,0,0,3,2,1,NA,1333.33337402344,1500,3,1,5,5,3,1,10,1,5,3,7,25,4
"1935",1935,0,0,0,0,0,1,1,1,NA,2600,2600,4,1,5,5,5,2,0,4,9,1,3,41,5
"1936",1936,0,NA,NA,NA,NA,1,2,2,NA,1000,1000,2,0,5,1,1,2,5,3,10,3,9,65,5
"1937",1937,0,NA,0,0,0,3,1,1,NA,204,511,2,1,5,5,3,1,10,4,6,3,5,23,5
"1938",1938,0,0,0,0,0,1,1,1,NA,340,510,1,1,5,5,3,2,2,4,12,4,4,45,4
"1939",1939,0,0,0,0,0,3,2,1,NA,750,1500,3,1,5,5,4,1,9,4,4,3,3,29,5
"1940",1940,1,NA,NA,NA,NA,3,2,2,NA,3000,3000,4,0,4,4,NA,1,6,1,4,3,7,26,4
"1941",1941,0,0,NA,NA,0,2,1,2,NA,875,800,2,0,5,5,1,NA,5,1,10,2,5,28,1
"1942",1942,0,0,NA,NA,0,3,2,2,NA,666.666687011719,1020,2,1,5,5,2,1,5,2,5,2,5,45,2
"1943",1943,0,0,0,0,0,2,1,2,NA,1900,2500,3,1,5,5,2,NA,0,2,11,3,7,45,2
"1944",1944,0,0,0,0,0,1,1,1,NA,875,2000,3,1,1,3,5,2,7,5,6,2,5,49,5
"1945",1945,0,0,0,0,0,3,1,1,NA,750,1,0,0,5,5,5,1,5,4,8,3,7,30,5
"1946",1946,0,0,NA,1,0,2,1,1,NA,1866.66662597656,1200,3,0,4,4,3,NA,3,2,NA,3,8,30,5
"1947",1947,0,0,0,1,1,3,1,2,NA,1000,1,0,0,5,5,2,1,5,2,6,NA,5,22,4
"1948",1948,0,0,0,NA,0,3,NA,1,NA,3500,2600,4,1,4,3,4,1,3,4,11,3,3,62,4
"1949",1949,0,0,NA,1,0,3,1,1,NA,1000,1,0,0,4,4,4,1,2,3,NA,3,7,22,4
"1950",1950,0,0,1,1,0,3,1,1,NA,333.333343505859,1000,2,1,3,3,4,1,3,4,NA,3,3,62,5
"1951",1951,0,0,1,1,0,1,1,1,NA,600,500,1,0,3,2,4,2,8,4,3,2,5,27,5
"1952",1952,0,0,1,1,0,1,2,2,NA,775,1000,2,1,5,5,1,2,5,1,9,2,3,47,1
"1953",1953,0,0,NA,1,0,1,1,2,NA,510,1020,2,0,5,3,2,2,NA,2,4,2,2,70,NA
"1954",1954,0,0,NA,NA,0,3,2,NA,NA,255,1,0,0,5,5,4,1,NA,4,4,2,3,29,4
"1955",1955,NA,NA,NA,0,NA,1,2,2,NA,255,1,0,0,5,5,2,2,5,2,3,2,5,55,2
"1956",1956,0,0,0,0,0,3,2,2,NA,255,510,1,0,2,4,4,1,5,1,7,3,8,24,1
